year,Trend,Count
2015,CSF Tested,346
2015,PARV4 Positive,53
2015,Positivity,0.15
2016,CSF Tested,391
2016,PARV4 Positive,43
2016,Positivity,0.11
2017,CSF Tested,418
2017,PARV4 Positive,92
2017,Positivity,0.22
2018,CSF Tested,391
2018,PARV4 Positive,45
2018,Positivity,0.12
2019,CSF Tested,341
2019,PARV4 Positive,63
2019,Positivity,0.18
2020,CSF Tested,200
2020,PARV4 Positive,53
2020,Positivity,0.27
2021,CSF Tested,256
2021,PARV4 Positive,79
2021,Positivity,0.31
2022,CSF Tested,450
2022,PARV4 Positive,98
2022,Positivity,0.22
