Zila,Freq.,Positivity
Bagerhat,1,0
Bandarbon,0,0
Barisal,12,32.43243243
Bhola,16,34.7826087
Bogra,7,58.33333333
Borgona,0,0
Brahmanbaria,27,20
Chandpur,26,15.6626506
Chittagong,2,0
Choua Danga,0,0
Comilla,28,21.875
Cox's Bazar,0,0
Dhaka,130,14.70588235
Dinajpur,0,0
Faridpur,9,26.47058824
Feni,2,8
Gaibanda,1,0
Gazipur,33,17.27748691
Gopalgonj,4,33.33333333
Hobiganj,2,10
Jamalpur,3,15
Jessore,4,20
Jhalakati,3,0
Jhenaidah,4,20
Khagrachari,0,0
Khulna,3,30
Kishoreganj,14,27.45098039
Kurigram,0,0
Kustia,6,33.33333333
Lakshmipur,16,20.25316456
Lalmonirhat,2,0
Madaripur,9,16.66666667
Magura,3,20
Manikgonj,14,23.33333333
Meherpur,1,0
Moulvibazar,0,0
Munshigonj,9,21.95121951
Naogaon,3,0
Narail,1,0
Naray Angonj,13,13.97849462
Narshingdi,20,25
Nasirabad,0,0
Natore,0,0
Nawabganj,0,0
Netrakona,1,0
Nilphamari,0,0
Noakhali,36,24.48979592
Pabna,9,13.43283582
Panchagarh,0,0
Parbattya Chattagram,0,0
Patuakhali,6,30
Pirojpur,3,0
Rajbari,5,20.83333333
Rajshahi,0,0
Rongpur,0,0
Shariatpur,6,13.63636364
Shatkhira,2,0
Sherpur,3,0
Sirajgonj,2,5.128205128
Sun Amgonj,0,0
Sylhet,1,0
Tangail,14,17.72151899
Thakurgaon,1,0
Jaipurhat,0,0
